artista,track,playcount,listeners
Billie Eilish,Therefore I Am,11350822,1001202
Billie Eilish,BLUE,15364767,985499
Billie Eilish,listen before i go,13226382,981008
Billie Eilish,my strange addiction,10375258,980863
Billie Eilish,watch,11172569,929504
Billie Eilish,My Future,12414003,928960
Billie Eilish,hotline (edit),9654792,927615
Billie Eilish,THE DINER,13724253,916897
Billie Eilish,ilomilo,11224843,879537
Billie Eilish,Halley's Comet,13846045,878663
Billie Eilish,No Time to Die,9574260,846935
Billie Eilish,xanny,9195332,843320
Billie Eilish,I Didn't Change My Number,10548682,827412
Billie Eilish,NDA,12150208,816379
Billie Eilish,BITTERSUITE,11833024,812198
Billie Eilish,my boy,7964968,811171
Billie Eilish,Getting Older,10336699,809065
Billie Eilish,Your Power,10543841,804612
Billie Eilish,COPYCAT,7134556,784517
Billie Eilish,Lost Cause,9624906,752259
Billie Eilish,bitches broken hearts,9070141,738965
Billie Eilish,Oxytocin,9585287,709824
Billie Eilish,hostage,7601628,697848
Billie Eilish,Male Fantasy,10034242,655402
Billie Eilish,goodbye,6340133,653286
Billie Eilish,8,6225048,639054
Love of Lesbian,Club de fans de John Boy,546611,57427
Love of Lesbian,Alli donde soliamos gritar,268903,32713
Love of Lesbian,La Niña Imantada,278957,31902
Love of Lesbian,Lucha de Gigantes,225846,31816
Love of Lesbian,Incendios de nieve,277936,27988
Love of Lesbian,Allí donde solíamos gritar,306824,26849
Love of Lesbian,1999,295282,26455
Love of Lesbian,Maniobras de escapismo,157757,26413
Love of Lesbian,Universos Infinitos,232387,25649
Love of Lesbian,Las malas lenguas,220841,24265
Love of Lesbian,Algunas Plantas,210632,23713
Love of Lesbian,Noches Reversibles,230570,23173
Love of Lesbian,Me Amo,194079,22972
Love of Lesbian,Segundo asalto,221847,22095
Love of Lesbian,Me llaman Octubre,106698,21222
Love of Lesbian,Los niños del mañana,92031,20829
Love of Lesbian,Un Día En El Parque,177221,20150
Love of Lesbian,Cuestiones de familia,162891,19297
Love of Lesbian,Miau,141324,17311
Love of Lesbian,Los Colores De Una Sombra,152935,16997
Love of Lesbian,Fantastic Shine,89530,16976
Love of Lesbian,Belice,167628,16756
Love of Lesbian,Cuando diga ya,123621,16402
Love of Lesbian,Mi personalidad,84090,16134
Love of Lesbian,La mirada de la gente que conspira,122932,15817
Love of Lesbian,Limousinas,72079,15517
Love of Lesbian,Bajo El Volcán,145889,15502
Love of Lesbian,Mon petit cabroin,63990,15131
Love of Lesbian,El ectoplasta,98084,14593
Love of Lesbian,Cuando no me ves,137941,14262
